=================================================================
  FUSSI Image Optimizer
  Source : C:\Users\mehme\Desktop\Stores\cozastore-master\images
  Output : C:\Users\mehme\Desktop\Stores\cozastore-master\images\webp
  Quality: 85  |  Max width: 2000px
  [OK]  images\de\Gemini_Generated_Image_eajcuheajcuheajc.png -> images\webp\de\product-de-071.webp  59.1% LARGER (source was already small)
  [OK]  images\de\Gemini_Generated_Image_eb8m0meb8m0meb8m.png -> images\webp\de\product-de-072.webp  53.2% LARGER (source was already small)
  [OK]  images\de\Gemini_Generated_Image_ecgz87ecgz87ecgz.png -> images\webp\de\product-de-073.webp  56.0% LARGER (source was already small)
  [OK]  images\de\Gemini_Generated_Image_ehkti0ehkti0ehkt.png -> images\webp\de\product-de-074.webp  69.5% LARGER (source was already small)
  [OK]  images\de\Gemini_Generated_Image_eskhlneskhlneskh.png -> images\webp\de\product-de-075.webp  54.0% LARGER (source was already small)
  [OK]  images\de\Gemini_Generated_Image_ew2zi9ew2zi9ew2z (1).png -> images\webp\de\product-de-076.webp  52.0% LARGER (source was already small)
  [OK]  images\de\Gemini_Generated_Image_ew2zi9ew2zi9ew2z.png -> images\webp\de\product-de-077.webp  49.9% LARGER (source was already small)
  [OK]  images\de\Gemini_Generated_Image_eycs5deycs5deycs.png -> images\webp\de\product-de-078.webp  51.9% LARGER (source was already small)
  [OK]  images\de\Gemini_Generated_Image_f6cj3mf6cj3mf6cj.png -> images\webp\de\product-de-079.webp  59.1% LARGER (source was already small)
  [OK]  images\de\Gemini_Generated_Image_f6ll8tf6ll8tf6ll.png -> images\webp\de\product-de-080.webp  51.9% LARGER (source was already small)
  [OK]  images\de\Gemini_Generated_Image_f7pvvsf7pvvsf7pv.png -> images\webp\de\product-de-081.webp  54.3% LARGER (source was already small)
  [OK]  images\de\Gemini_Generated_Image_f90jjf90jjf90jjf.png -> images\webp\de\product-de-082.webp  59.4% LARGER (source was already small)
  [OK]  images\de\Gemini_Generated_Image_f99gwsf99gwsf99g.png -> images\webp\de\product-de-083.webp  61.4% LARGER (source was already small)
  [OK]  images\de\Gemini_Generated_Image_fbkapdfbkapdfbka.png -> images\webp\de\product-de-084.webp  61.2% LARGER (source was already small)
  [OK]  images\de\Gemini_Generated_Image_fd52dqfd52dqfd52.png -> images\webp\de\product-de-085.webp  57.8% LARGER (source was already small)
